days,region,temperature,rainfall,daylight,weeks
2015-04-30,Gochang,18.5,0,6,18
2015-04-30,Andong,18.4,0,6,18
2015-04-30,Uiseong,17.3,0,4,18
2015-05-01,Sinan,15.2,0,11,18
2015-05-01,Goheung,18.3,0,10,18
2015-05-01,Gochang,18.3,0,4,18
2015-05-01,Andong,20.8,0,11,18
2015-05-01,Uiseong,19.2,0,10,18
2015-05-02,Sinan,14.9,37,1,18
2015-05-02,Goheung,18.5,6,5,18
2015-05-02,Gochang,20.5,2.4,6,18
2015-05-02,Andong,21.4,0,11,18
2015-05-02,Uiseong,20.3,0,9,18
2015-05-03,Sinan,14.3,13.5,1,19
2015-05-03,Goheung,18.1,28,0,19
2015-05-03,Gochang,18.1,6.5,0,19
2015-05-03,Andong,17.8,4,0,19
2015-05-03,Uiseong,17.5,2,0,19
2015-05-04,Sinan,12.6,0,11,19
2015-05-04,Goheung,17.4,0,11,19
2015-05-04,Gochang,14.5,0,10,19
2015-05-04,Andong,17.2,0,11,19
2015-05-04,Uiseong,16.8,0,11,19
2015-05-05,Sinan,12.4,0,12,19
